#	Label	rel_flux_T1	rel_flux_T1_dfn	rel_flux_T1_dfn_model	rel_flux_T1_dfn_residual	rel_flux_err_T1_dfn
62	WASP-12b_00101_bdf.fits	0.092043	0.988257	0.973544	-0.000287	0.001381
63	WASP-12b_00102_bdf.fits	0.092115	0.989033	0.973239	0.000794	0.001395
64	WASP-12b_00103_bdf.fits	0.092150	0.989408	0.972970	0.001438	0.001387
65	WASP-12b_00104_bdf.fits	0.091945	0.987204	0.972731	-0.000527	0.001382
66	WASP-12b_00105_bdf.fits	0.091908	0.986813	0.972516	-0.000703	0.001382
67	WASP-12b_00106_bdf.fits	0.091995	0.987750	0.972323	0.000427	0.001381
68	WASP-12b_00107_bdf.fits	0.091923	0.986974	0.972148	-0.000174	0.001376
69	WASP-12b_00108_bdf.fits	0.092194	0.989887	0.971990	0.002897	0.001391
70	WASP-12b_00109_bdf.fits	0.092297	0.990992	0.971846	0.004146	0.001371
71	WASP-12b_00110_bdf.fits	0.091719	0.984787	0.971715	-0.001928	0.001404
72	WASP-12b_00111_bdf.fits	0.092071	0.988569	0.971595	0.001974	0.001378
73	WASP-12b_00112_bdf.fits	0.091913	0.986873	0.971486	0.000386	0.001372
74	WASP-12b_00113_bdf.fits	0.091463	0.982046	0.971387	-0.004341	0.001385
75	WASP-12b_00114_bdf.fits	0.091807	0.985738	0.971297	-0.000559	0.001432
76	WASP-12b_00115_bdf.fits	0.091989	0.987695	0.971214	0.001481	0.001389
77	WASP-12b_00116_bdf.fits	0.091857	0.986283	0.971139	0.000144	0.001380
78	WASP-12b_00117_bdf.fits	0.092003	0.987852	0.971071	0.001781	0.001388
79	WASP-12b_00118_bdf.fits	0.091746	0.985095	0.971009	-0.000914	0.001397
80	WASP-12b_00119_bdf.fits	0.091798	0.985651	0.970953	-0.000302	0.001398
81	WASP-12b_00120_bdf.fits	0.091839	0.986093	0.970903	0.000190	0.001399
82	WASP-12b_00121_bdf.fits	0.091627	0.983812	0.970858	-0.002045	0.001368
83	WASP-12b_00122_bdf.fits	0.091864	0.986359	0.970818	0.000541	0.001357
84	WASP-12b_00123_bdf.fits	0.091916	0.986921	0.970783	0.001138	0.001377
85	WASP-12b_00124_bdf.fits	0.092080	0.988680	0.970752	0.002928	0.001369
86	WASP-12b_00125_bdf.fits	0.092028	0.988125	0.970726	0.002399	0.001318
87	WASP-12b_00126_bdf.fits	0.091975	0.987554	0.970703	0.001850	0.001332
88	WASP-12b_00127_bdf.fits	0.091738	0.985006	0.970685	-0.000679	0.001341
89	WASP-12b_00128_bdf.fits	0.091939	0.987168	0.970671	0.001497	0.001305
90	WASP-12b_00129_bdf.fits	0.091697	0.984571	0.970660	-0.001090	0.001283
91	WASP-12b_00130_bdf.fits	0.091805	0.985736	0.970654	0.000082	0.001273
92	WASP-12b_00131_bdf.fits	0.091795	0.985629	0.970651	-0.000022	0.001242
93	WASP-12b_00132_bdf.fits	0.091907	0.986833	0.970652	0.001182	0.001245
94	WASP-12b_00133_bdf.fits	0.091527	0.982752	0.970656	-0.002904	0.001275
95	WASP-12b_00134_bdf.fits	0.091638	0.983943	0.970665	-0.001722	0.001262
96	WASP-12b_00135_bdf.fits	0.091665	0.984231	0.970677	-0.001446	0.001246
97	WASP-12b_00136_bdf.fits	0.091892	0.986674	0.970693	0.000981	0.001238
98	WASP-12b_00137_bdf.fits	0.091709	0.984702	0.970713	-0.001011	0.001302
99	WASP-12b_00138_bdf.fits	0.091806	0.985750	0.970737	0.000014	0.001307
100	WASP-12b_00139_bdf.fits	0.091878	0.986516	0.970765	0.000751	0.001245
101	WASP-12b_00140_bdf.fits	0.091936	0.987147	0.970797	0.001350	0.001245
102	WASP-12b_00141_bdf.fits	0.091807	0.985757	0.970835	-0.000077	0.001253
103	WASP-12b_00142_bdf.fits	0.091592	0.983447	0.970877	-0.002430	0.001254
104	WASP-12b_00143_bdf.fits	0.092058	0.988449	0.970924	0.002525	0.001250
105	WASP-12b_00144_bdf.fits	0.091695	0.984558	0.970977	-0.001419	0.001250
106	WASP-12b_00145_bdf.fits	0.091980	0.987619	0.971035	0.001584	0.001252
107	WASP-12b_00146_bdf.fits	0.091625	0.983800	0.971100	-0.002299	0.001261
108	WASP-12b_00147_bdf.fits	0.091654	0.984114	0.971171	-0.002057	0.001257
109	WASP-12b_00148_bdf.fits	0.091837	0.986077	0.971249	-0.000172	0.001252
110	WASP-12b_00149_bdf.fits	0.091652	0.984088	0.971335	-0.002246	0.001264
111	WASP-12b_00150_bdf.fits	0.092084	0.988734	0.971429	0.002305	0.001256
112	WASP-12b_00151_bdf.fits	0.091893	0.986679	0.971533	0.000146	0.001245
113	WASP-12b_00152_bdf.fits	0.091787	0.985537	0.971646	-0.001109	0.001252
114	WASP-12b_00153_bdf.fits	0.091713	0.984747	0.971770	-0.002024	0.001254
115	WASP-12b_00154_bdf.fits	0.091910	0.986859	0.971907	-0.000048	0.001248
116	WASP-12b_00155_bdf.fits	0.092056	0.988424	0.972057	0.001367	0.001238
117	WASP-12b_00156_bdf.fits	0.091996	0.987781	0.972222	0.000558	0.001244
118	WASP-12b_00157_bdf.fits	0.091963	0.987431	0.972405	0.000027	0.001319
119	WASP-12b_00158_bdf.fits	0.091791	0.985581	0.972607	-0.002026	0.001246
120	WASP-12b_00159_bdf.fits	0.092049	0.988351	0.972832	0.000519	0.001252
121	WASP-12b_00160_bdf.fits	0.091724	0.984857	0.973083	-0.003226	0.001267
122	WASP-12b_00161_bdf.fits	0.092120	0.989114	0.973367	0.000747	0.001261
123	WASP-12b_00162_bdf.fits	0.092011	0.987944	0.973690	-0.000746	0.001287
124	WASP-12b_00163_bdf.fits	0.092126	0.989178	0.974064	0.000115	0.001253
125	WASP-12b_00164_bdf.fits	0.092127	0.989187	0.974509	-0.000322	0.001262
126	WASP-12b_00165_bdf.fits	0.091991	0.987724	0.975139	-0.002415	0.001289
127	WASP-12b_00166_bdf.fits	0.092227	0.990263	0.976087	-0.000824	0.001272
